run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time,record_origin,source_experiment_id,source_run_id,source_timestamp,source_elapsed_time,source_hover_elapsed_time,source_node_elapsed_time,interpolation_method,interpolation_gap_index,interpolation_fraction
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,0.216,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,100,100,,0,0,0,0,0,0,0.0,13.0,-1003.0,47,50,10,0,-111.46,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,0.216,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,100,100,,0,0,0,0,0,0,6.0,8.0,-1001.0,45,47,6553,0,-110.5,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,0.216,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,95,96,,0,0,0,0,0,0,-6.0,4.0,-997.0,45,48,10,0,-110.64,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,0.216,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,100,100,,0,1,0,0,0,0,19.0,1.0,-1001.0,41,42,10,0,-109.75,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,0.216,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,100,100,,0,0,1,0,0,0,-7.0,-29.0,-994.0,38,41,6553,0,-110.84,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,0.321,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,100,100,,0,0,0,0,0,0,-1.0,-8.0,-1003.0,47,50,10,0,-111.46,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,0.321,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,100,100,,0,0,0,0,0,0,14.0,12.0,-1005.0,45,47,6553,0,-110.5,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,0.321,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,95,96,,0,0,0,0,0,0,-3.0,3.0,-998.0,45,48,10,0,-110.64,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,0.321,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,100,100,,0,1,0,0,0,0,17.0,0.0,-995.0,41,42,10,0,-109.75,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,0.321,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,100,100,,0,0,0,0,0,0,6.0,-20.0,-999.0,38,41,6553,0,-110.84,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,0.425,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,100,100,,1,0,0,0,0,0,39.0,-4.0,-1022.0,47,50,10,0,-111.46,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,0.425,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,100,100,,0,0,0,0,0,0,43.0,10.0,-1005.0,45,47,6553,0,-110.5,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,0.425,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,95,96,,0,0,0,0,0,0,-22.0,-36.0,-1002.0,45,48,10,0,-110.64,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,0.425,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,100,100,,0,1,0,0,0,0,27.0,14.0,-994.0,41,42,10,0,-109.75,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,0.425,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,100,100,,0,0,0,0,0,0,5.0,-22.0,-1003.0,38,41,6553,0,-110.84,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,0.531,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,100,100,,3,0,0,0,0,0,-12.0,-15.0,-1075.0,47,50,10,0,-111.46,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,0.531,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,100,100,,0,0,0,0,0,0,11.0,4.0,-1029.0,45,47,10,0,-110.5,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,0.531,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,95,96,,0,0,0,0,0,0,-7.0,14.0,-1010.0,45,48,10,0,-110.64,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,0.531,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,100,100,,0,1,0,0,0,0,-23.0,41.0,-1012.0,41,42,10,0,-109.75,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,0.531,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,100,100,,0,0,0,0,0,0,0.0,7.0,-1030.0,38,41,6553,0,-110.84,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,0.636,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,100,100,,3,0,2,0,0,0,1.0,13.0,-1012.0,47,50,10,0,-111.46,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,0.636,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,100,100,,1,0,0,0,0,0,3.0,-9.0,-1178.0,45,48,10,0,-110.5,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,0.636,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,95,96,,0,0,0,0,0,0,-17.0,0.0,-1038.0,45,48,10,0,-110.64,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,0.636,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,100,100,,0,0,0,0,0,0,-26.0,3.0,-1236.0,41,42,10,0,-109.75,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,0.636,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,100,100,,0,0,0,0,0,0,-10.0,-15.0,-997.0,38,41,6553,0,-110.84,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T21:12:07.137,0.742,0.742,0.742,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,100,100,,3,-1,4,0,0,0,9.0,17.0,-1179.0,47,50,20,0,-111.46,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.137,0.742,0.742,0.742,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T21:12:07.137,0.742,0.742,0.742,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,100,100,,1,0,0,0,0,3,-48.0,12.0,-1327.0,45,48,17,0,-110.5,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.137,0.742,0.742,0.742,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T21:12:07.137,0.742,0.742,0.742,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,95,96,,0,0,0,0,0,1,-41.0,2.0,-1333.0,45,48,20,0,-110.64,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.137,0.742,0.742,0.742,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T21:12:07.137,0.742,0.742,0.742,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,100,100,,0,0,0,0,0,1,-39.0,-22.0,-1349.0,41,42,20,0,-109.75,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.137,0.742,0.742,0.742,,,
