trial_id,experiment_type,hover_duration_sec,drone_name,drone_ip,drone_role,start_pad,target_pad,phase,timestamp,elapsed_time,hover_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,battery,battery_hover_start,battery_end,battery_drop,templ,temph,tof,h,baro,motor_time,target_x,target_y,target_z,position_error_x,position_error_y,position_error_z,position_error_dist
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:34.464,0.944,0.944,1,-1,4,80,-1,4,80,-4,-1,0,0,0,0,-84.0,15.0,-995.0,87,87,,,62,64,82,80,-97.84,18,0,0,80,1,-4,0,4.123
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:34.464,0.944,0.944,2,-10,20,84,-10,70,84,-29,-1,3,0,0,0,-67.0,3.0,-1000.0,83,84,,,62,65,82,60,-97.64,18,0,50,80,10,-20,-4,22.716
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:34.464,0.944,0.944,3,-9,15,82,-9,115,82,-6,1,1,0,0,0,-30.0,5.0,-965.0,81,81,,,67,69,84,70,-96.79,18,0,100,80,9,-15,-2,17.607
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:34.566,1.046,1.046,1,-2,2,81,-2,2,81,-4,-2,0,0,0,0,-35.0,-7.0,-981.0,86,87,,,62,64,81,80,-97.78,18,0,0,80,2,-2,-1,3.0
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:34.566,1.046,1.046,2,-10,20,84,-10,70,84,-29,-1,2,0,0,0,-76.0,18.0,-997.0,83,84,,,62,65,81,60,-97.64,18,0,50,80,10,-20,-4,22.716
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:34.566,1.046,1.046,3,-9,15,82,-9,115,82,-7,0,1,0,0,0,26.0,-26.0,-994.0,81,81,,,67,69,84,70,-96.77,18,0,100,80,9,-15,-2,17.607
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:34.672,1.152,1.152,1,-2,2,81,-2,2,81,-4,-3,0,0,0,0,-27.0,3.0,-983.0,86,87,,,62,64,82,80,-97.91,18,0,0,80,2,-2,-1,3.0
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:34.672,1.152,1.152,2,-10,20,84,-10,70,84,-29,-1,0,0,0,0,-79.0,4.0,-968.0,83,84,,,62,65,81,60,-97.7,19,0,50,80,10,-20,-4,22.716
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:34.672,1.152,1.152,3,-9,15,82,-9,115,82,-7,0,1,0,0,0,30.0,-28.0,-993.0,81,81,,,67,69,84,70,-96.72,19,0,100,80,9,-15,-2,17.607
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:34.775,1.255,1.255,1,-2,2,81,-2,2,81,-4,-2,0,0,0,0,-32.0,-16.0,-960.0,86,87,,,62,64,83,80,-97.7,19,0,0,80,2,-2,-1,3.0
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:34.775,1.255,1.255,2,-10,20,84,-10,70,84,-29,-2,0,0,0,0,-64.0,8.0,-1006.0,83,84,,,62,65,81,60,-97.55,19,0,50,80,10,-20,-4,22.716
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:34.775,1.255,1.255,3,-9,15,82,-9,115,82,-7,0,1,0,0,0,2.0,2.0,-995.0,81,81,,,67,69,84,70,-96.79,19,0,100,80,9,-15,-2,17.607
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:34.882,1.362,1.362,1,-3,5,82,-3,5,82,-4,-2,1,0,0,0,-32.0,-24.0,-982.0,86,87,,,61,64,82,80,-97.89,19,0,0,80,3,-5,-2,6.164
