trial_id,experiment_type,hover_duration_sec,drone_name,drone_ip,drone_role,start_pad,target_pad,phase,timestamp,elapsed_time,hover_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,battery,battery_hover_start,battery_end,battery_drop,templ,temph,tof,h,baro,motor_time,target_x,target_y,target_z,position_error_x,position_error_y,position_error_z,position_error_dist
27,hover_column,60,drone_left,192.168.0.102,left,1,1,pre_hover_settle,2026-04-29T11:19:46.560,0.0,0.0,1,0,3,84,0,3,84,0,0,-3,0,0,0,-41.0,31.0,-1017.0,61,61,,,65,67,82,70,-98.38,172,0,0,80,0,-3,-4,5.0
27,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:19:46.560,0.0,0.0,2,-8,13,79,-8,63,79,-23,-3,1,0,0,0,-44.0,-5.0,-981.0,60,60,,,66,69,81,70,-98.38,181,0,50,80,8,-13,1,15.297
27,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:19:46.560,0.0,0.0,3,-3,3,83,-3,103,83,1,-1,-2,0,-1,0,-37.0,9.0,-1037.0,56,56,,,70,72,81,60,-97.66,191,0,100,80,3,-3,-3,5.196
27,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:19:46.665,0.105,0.105,1,0,3,84,0,3,84,1,-1,-3,0,0,0,-23.0,11.0,-974.0,61,61,,,65,67,81,70,-98.21,172,0,0,80,0,-3,-4,5.0
27,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:19:46.665,0.105,0.105,2,-9,8,81,-9,58,81,-22,-2,1,0,0,0,-60.0,-20.0,-990.0,60,60,,,66,69,82,70,-98.35,181,0,50,80,9,-8,-1,12.083
27,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:19:46.665,0.105,0.105,3,-3,3,83,-3,103,83,1,-1,-2,0,-1,0,-50.0,27.0,-1015.0,56,56,,,70,72,80,60,-97.72,191,0,100,80,3,-3,-3,5.196
27,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:19:46.767,0.207,0.207,1,0,3,84,0,3,84,1,-1,-2,0,0,0,-43.0,52.0,-977.0,61,61,,,65,67,81,70,-98.25,172,0,0,80,0,-3,-4,5.0
27,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:19:46.767,0.207,0.207,2,-9,8,81,-9,58,81,-22,-3,1,0,0,0,-49.0,6.0,-995.0,60,60,,,66,69,82,70,-98.46,181,0,50,80,9,-8,-1,12.083
27,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:19:46.767,0.207,0.207,3,-3,3,83,-3,103,83,1,-2,-2,0,0,0,-52.0,0.0,-1018.0,56,56,,,70,72,80,60,-97.82,191,0,100,80,3,-3,-3,5.196
27,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:19:46.872,0.312,0.312,1,0,3,84,0,3,84,0,-1,-1,0,0,0,-48.0,60.0,-980.0,61,61,,,65,67,79,70,-98.38,172,0,0,80,0,-3,-4,5.0
27,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:19:46.872,0.312,0.312,2,-9,8,81,-9,58,81,-22,-2,1,0,0,0,-59.0,-4.0,-989.0,60,60,,,66,69,82,70,-98.4,181,0,50,80,9,-8,-1,12.083
27,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:19:46.872,0.312,0.312,3,-3,3,83,-3,103,83,0,-3,-2,0,0,0,-86.0,31.0,-1035.0,56,56,,,70,72,81,60,-97.77,191,0,100,80,3,-3,-3,5.196
27,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:19:46.975,0.415,0.415,1,-4,5,82,-4,5,82,0,-1,-2,0,0,0,-51.0,11.0,-1013.0,61,61,,,65,67,79,70,-98.43,173,0,0,80,4,-5,-2,6.708
27,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:19:46.975,0.415,0.415,2,-9,8,81,-9,58,81,-22,-2,1,0,0,0,-52.0,9.0,-1005.0,60,60,,,66,69,82,70,-98.5,181,0,50,80,9,-8,-1,12.083
