run_id,baseline_id,drone_name,drone_number,drone_ip,battery_id,mode,direction,baseline_path,phase,timestamp,elapsed_time,mid,x,y,z,battery,battery_start,battery_drop_from_start,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:08.723,23.112,5,-8,7,82,91,100,9,-12,0,0,0,0,0,10.0,1.0,-1001.0,44,46,81,70,-122.63,22
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:09.728,24.118,5,-8,9,83,91,100,9,-12,0,0,0,0,0,6.0,2.0,-997.0,44,47,81,70,-122.6,23
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:10.733,25.122,5,-26,10,78,90,100,10,-12,0,0,0,0,0,5.0,2.0,-997.0,44,47,81,70,-122.62,24
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:11.734,26.123,5,-9,10,83,90,100,10,-12,0,0,0,0,0,3.0,4.0,-1001.0,44,47,82,70,-122.63,26
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:12.740,27.129,5,-8,11,84,89,100,11,-12,0,0,0,0,0,7.0,5.0,-996.0,45,47,83,70,-122.58,26
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:13.743,28.133,5,-10,11,84,89,100,11,-12,0,0,0,0,0,0.0,2.0,-1003.0,44,47,82,70,-122.59,27
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:14.749,29.139,5,-9,12,83,88,100,12,-12,0,0,0,0,0,2.0,5.0,-994.0,46,47,81,70,-122.58,28
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:15.755,30.145,5,-10,14,83,88,100,12,-12,0,0,0,0,0,8.0,2.0,-1003.0,45,48,81,70,-122.57,30
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:16.759,31.148,5,-8,11,83,87,100,13,-12,0,0,0,0,0,10.0,3.0,-995.0,45,48,82,70,-122.59,30
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:17.764,32.154,5,-7,12,84,87,100,13,-12,0,0,0,0,0,8.0,6.0,-1001.0,46,49,82,70,-122.52,31
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:18.765,33.155,5,-8,13,83,86,100,14,-12,0,0,0,0,0,5.0,6.0,-998.0,46,49,82,70,-122.54,33
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:19.771,34.16,5,-10,15,83,86,100,14,-12,0,0,0,0,0,6.0,-1.0,-1006.0,47,50,82,70,-122.53,33
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:20.775,35.164,5,-10,15,83,85,100,15,-12,0,0,0,0,0,0.0,-1.0,-1002.0,46,50,81,70,-122.59,34
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:21.781,36.17,5,-10,17,83,85,100,15,-12,0,0,0,0,0,6.0,9.0,-995.0,47,50,82,70,-122.7,35
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:22.786,37.176,5,-10,17,83,84,100,16,-12,0,0,0,0,0,5.0,4.0,-994.0,47,50,83,70,-122.68,36
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:23.792,38.182,5,-8,16,84,84,100,16,-12,0,0,0,0,0,4.0,0.0,-1002.0,47,49,82,70,-122.55,37
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:24.796,39.186,5,-9,19,83,83,100,17,-12,0,0,0,0,0,13.0,0.0,-996.0,48,50,82,70,-122.63,38
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:25.800,40.19,5,-10,18,83,83,100,17,-12,0,0,0,0,0,-2.0,-8.0,-1001.0,47,51,80,70,-122.59,39
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:26.801,41.19,5,-12,22,81,82,100,18,-12,0,0,0,0,0,11.0,2.0,-993.0,48,50,81,70,-122.6,40
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:27.803,42.193,5,-9,18,82,82,100,18,-12,0,0,0,0,0,2.0,-3.0,-997.0,47,51,81,70,-122.61,41
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:28.809,43.199,5,-11,19,83,81,100,19,-12,0,0,0,0,0,7.0,8.0,-994.0,48,51,81,70,-122.59,42
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:29.815,44.204,5,-13,23,81,81,100,19,-12,0,0,0,0,0,10.0,-4.0,-998.0,48,51,81,70,-122.64,44
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:30.821,45.21,5,-14,23,81,80,100,20,-12,0,0,0,0,0,5.0,12.0,-996.0,49,52,81,70,-122.65,45
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:31.827,46.216,5,-11,21,82,80,100,20,-12,0,0,0,0,0,10.0,-5.0,-997.0,48,52,81,70,-122.72,46
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:32.829,47.218,5,-12,22,82,80,100,20,-12,0,0,0,0,0,12.0,6.0,-1002.0,49,52,81,70,-122.57,47
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:33.835,48.224,5,-12,25,81,79,100,21,-12,0,0,0,0,0,7.0,-19.0,-1007.0,49,52,80,70,-122.38,48
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:34.838,49.228,5,-13,26,81,79,100,21,-12,0,0,0,0,0,13.0,6.0,-996.0,50,52,81,70,-122.43,49
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:35.843,50.233,5,-13,27,81,79,100,21,-12,0,0,0,0,0,17.0,4.0,-1003.0,50,52,81,70,-122.49,50
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:36.849,51.238,5,-14,28,80,79,100,21,-12,0,0,0,0,0,9.0,-1.0,-1007.0,50,53,81,70,-122.53,51
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:37.854,52.243,5,-11,26,82,78,100,22,-12,0,0,0,0,0,7.0,7.0,-999.0,50,53,80,70,-122.55,52
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:38.860,53.249,5,-16,28,81,78,100,22,-12,0,0,0,0,0,3.0,4.0,-996.0,50,52,81,70,-122.57,53
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:39.866,54.255,5,-12,27,83,78,100,22,-12,0,0,0,0,0,14.0,4.0,-995.0,50,53,81,70,-122.5,54
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:40.870,55.26,5,-12,28,83,78,100,22,-12,0,0,0,0,0,18.0,-13.0,-1001.0,50,54,81,70,-122.54,55
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:41.876,56.265,5,-14,31,81,78,100,22,-12,0,0,0,0,0,11.0,3.0,-1003.0,51,53,81,70,-122.49,56
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:42.879,57.268,5,-12,29,83,78,100,22,-12,0,0,0,0,0,13.0,-10.0,-995.0,50,53,82,70,-122.59,57
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:43.885,58.274,6,-18,-11,83,78,100,22,-12,0,0,0,0,0,16.0,0.0,-998.0,51,54,81,70,-122.41,58
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:44.887,59.277,6,-17,-6,84,77,100,23,-12,0,0,0,0,0,13.0,4.0,-998.0,51,54,81,70,-122.5,59
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:45.890,60.279,6,-21,-13,82,77,100,23,-12,0,0,0,0,0,13.0,18.0,-1000.0,51,54,82,70,-122.65,60
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:46.895,61.285,5,-15,33,83,77,100,23,-12,0,0,0,0,0,6.0,6.0,-994.0,51,53,82,70,-122.62,61
