run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,hover_start_timestamp,hover_end_timestamp,hover_duration_sec,node_start_timestamp,node_end_timestamp,node_duration_sec,target_pad,node_forward_distance_cm,node_speed_cm_s,battery_hover_start,battery_hover_end,battery_drop,trial_id,battery_drop_per_min
20260623_222335,echalon_50_side_lv2_new_002,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,6,250,10,69,55,14,002,11.26926843665732
20260623_222335,echalon_50_side_lv2_new_002,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,7,250,10,75,64,11,002,8.854425200230752
20260623_222335,echalon_50_side_lv2_new_002,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,8,250,10,72,68,4,002,3.2197909819020913
20260623_222335,echalon_50_side_lv2_new_002,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,1,250,10,74,64,10,002,8.049477454755229
20260623_222335,echalon_50_side_lv2_new_002,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,2026-06-23T22:26:19.328,2026-06-23T22:27:33.867,74.539,2,250,10,74,63,11,002,8.854425200230752
20260624_180847,echalon_50_side_lv2_new_003,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,6,250,10,75,71,4,003,4.6654484662338165
20260624_180847,echalon_50_side_lv2_new_003,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,7,250,10,73,70,3,003,3.499086349675362
20260624_180847,echalon_50_side_lv2_new_003,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,8,250,10,70,67,3,003,3.499086349675362
20260624_180847,echalon_50_side_lv2_new_003,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,1,250,10,74,70,4,003,4.6654484662338165
20260624_180847,echalon_50_side_lv2_new_003,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,2026-06-24T18:10:47.362,2026-06-24T18:11:38.804,51.442,2,250,10,74,65,9,003,10.497259049026088
20260624_181632,echalon_50_side_lv2_new_004,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,6,250,10,57,44,13,004,17.330252399573407
20260624_181632,echalon_50_side_lv2_new_004,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,7,250,10,59,48,11,004,14.66405972271596
20260624_181632,echalon_50_side_lv2_new_004,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,8,250,10,55,43,12,004,15.997156061144683
20260624_181632,echalon_50_side_lv2_new_004,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,1,250,10,57,44,13,004,17.330252399573407
20260624_181632,echalon_50_side_lv2_new_004,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,2026-06-24T18:16:52.541,2026-06-24T18:17:37.549,45.008,2,250,10,46,28,18,004,23.995734091717026
