run_id,experiment_id,formation,wind_direction,wind_speed,wind_level,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,pre_node_settle,2026-05-18T10:59:25.556,10.398,0.001,0.001,1,1,1,85,1,1,85,0,250,80,6,250,10,-1,249,-5,249.052,,,68,68,,-140,-2,0,0,0,0,-29.0,2.0,-1002.0,62,64,87,70,-15.89,177
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-18T10:59:26.562,11.404,1.007,1.007,1,3,2,88,3,2,88,0,250,80,6,250,10,-3,248,-8,248.147,,,68,68,,-140,-2,0,0,0,0,-69.0,7.0,-941.0,61,63,84,70,-15.94,178
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-18T10:59:27.569,12.411,2.014,2.014,1,3,7,83,3,7,83,0,250,80,6,250,10,-3,243,-3,243.037,,,68,68,,-140,-1,1,1,0,0,-28.0,-1.0,-983.0,62,65,79,70,-16.03,180
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-18T10:59:28.576,13.419,3.021,3.021,1,1,14,81,1,14,81,0,250,80,6,250,10,-1,236,-1,236.004,,,68,68,,-140,-1,0,0,0,0,-20.0,-27.0,-1001.0,62,65,79,70,-16.07,181
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-18T10:59:29.588,14.43,4.032,4.032,2,-5,-19,79,-5,31,79,0,250,80,6,250,10,5,219,1,219.059,,,68,68,,-140,-2,0,0,0,0,-46.0,0.0,-993.0,62,65,78,70,-15.94,181
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-18T10:59:30.594,15.437,5.039,5.039,2,-1,-8,79,-1,42,79,0,250,80,6,250,10,1,208,1,208.005,,,68,68,,-140,0,0,0,0,0,6.0,25.0,-1029.0,62,65,77,70,-16.03,182
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_2_of_5,2026-05-18T10:59:31.596,16.439,6.041,6.041,2,2,6,80,2,56,80,0,250,80,6,250,10,-2,194,0,194.01,,,68,68,,-139,0,-1,0,1,0,5.0,-7.0,-971.0,61,65,78,70,-15.87,184
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_2_of_5,2026-05-18T10:59:32.604,17.447,7.049,7.049,3,3,-38,75,3,62,75,0,250,80,6,250,10,-3,188,5,188.09,,,68,68,,-140,-1,0,1,0,0,-12.0,-60.0,-983.0,62,65,79,70,-15.85,184
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_2_of_5,2026-05-18T10:59:33.607,18.45,8.052,8.052,3,1,-20,81,1,80,81,0,250,80,6,250,10,-1,170,-1,170.006,,,68,68,,-140,-2,0,0,0,0,-24.0,-23.0,-963.0,62,65,79,70,-15.88,185
20260518_105912,drone_1_B11_head_forward_250_20260518_105912,single_drone_baseline,head_forward_250,lv2,lv2,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_2_of_5,2026-05-18T10:59:34.613,19.455,9.058,9.058,3,-1,-6,81,-1,94,81,0,250,80,6,250,10,1,156,-1,156.006,,,68,68,,-140,-1,0,0,0,0,-1.0,-18.0,-1006.0,62,65,79,70,-15.94,187
