run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,hover_start_timestamp,hover_end_timestamp,hover_duration_sec,node_start_timestamp,node_end_timestamp,node_duration_sec,target_pad,node_forward_distance_cm,node_speed_cm_s,battery_hover_start,battery_hover_end,battery_drop,trial_id,battery_drop_per_min
20260701_225635,column_50_tail_lv2_new_001,column,tail wind,Level2,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,6,250,10,74,61,13,001,9.348482669351359
20260701_225635,column_50_tail_lv2_new_001,column,tail wind,Level2,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,7,250,10,72,62,10,001,7.19114051488566
20260701_225635,column_50_tail_lv2_new_001,column,tail wind,Level2,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,8,250,10,69,65,4,001,2.8764562059542644
20260701_225635,column_50_tail_lv2_new_001,column,tail wind,Level2,50,drone_4,192.168.0.106,B14,4,column_4,4,0,3,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,3,250,10,72,67,5,001,3.59557025744283
20260701_225635,column_50_tail_lv2_new_001,column,tail wind,Level2,50,drone_5,192.168.0.107,B12,5,column_5,5,0,4,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,2026-07-01T22:56:52.633,2026-07-01T22:58:16.070,83.436,4,250,10,71,61,10,001,7.19114051488566
20260701_225858,column_50_tail_lv2_new_002,column,tail wind,Level2,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,,,,2026-07-01T22:59:19.465,2026-07-01T23:00:39.433,79.968,6,250,10,59,43,16,002,12.004801920768308
20260701_225858,column_50_tail_lv2_new_002,column,tail wind,Level2,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,,,,2026-07-01T22:59:19.465,2026-07-01T23:00:39.433,79.968,7,250,10,60,44,16,002,12.004801920768308
20260701_225858,column_50_tail_lv2_new_002,column,tail wind,Level2,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,,,,2026-07-01T22:59:19.465,2026-07-01T23:00:39.433,79.968,8,250,10,63,50,13,002,9.75390156062425
20260701_225858,column_50_tail_lv2_new_002,column,tail wind,Level2,50,drone_4,192.168.0.106,B14,4,column_4,4,0,3,,,,2026-07-01T22:59:19.465,2026-07-01T23:00:39.433,79.968,3,250,10,65,52,13,002,9.75390156062425
20260701_225858,column_50_tail_lv2_new_002,column,tail wind,Level2,50,drone_5,192.168.0.107,B12,5,column_5,5,0,4,,,,2026-07-01T22:59:19.465,2026-07-01T23:00:39.433,79.968,4,250,10,59,42,17,002,12.755102040816327
