run_id,baseline_id,drone_name,drone_number,drone_ip,battery_id,mode,direction,baseline_path,phase,timestamp,elapsed_time,mid,x,y,z,battery,battery_start,battery_drop_from_start,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:18.165,1.821,,,,80,94,95,1,0,0,0,0,0,0,7.0,-2.0,-998.0,59,62,83,80,-15.69,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:18.266,1.921,,,,80,94,95,1,0,0,0,0,0,0,11.0,0.0,-997.0,59,62,83,80,-15.68,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:18.366,2.021,,,,80,94,95,1,0,0,0,0,0,0,17.0,-6.0,-1006.0,59,62,83,80,-15.73,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:18.467,2.123,,,,80,94,95,1,0,0,0,0,0,0,4.0,6.0,-1000.0,59,62,84,80,-15.68,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:18.568,2.223,,,,80,94,95,1,0,0,0,0,0,0,7.0,-6.0,-999.0,59,62,84,80,-15.68,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:18.670,2.325,,,,80,94,95,1,0,0,0,0,0,0,11.0,-12.0,-991.0,59,62,84,80,-15.66,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:18.771,2.426,,,,80,94,95,1,0,0,0,0,0,0,9.0,-2.0,-999.0,59,62,83,80,-15.72,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:18.872,2.527,,,,80,94,95,1,0,0,0,0,0,0,0.0,-5.0,-987.0,59,62,83,80,-15.74,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:18.973,2.628,,,,80,94,95,1,0,0,0,0,0,0,13.0,-10.0,-997.0,59,62,84,80,-15.66,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:19.074,2.729,,,,80,94,95,1,0,0,0,0,0,0,7.0,-9.0,-989.0,59,62,84,80,-15.69,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:19.174,2.83,,,,80,94,95,1,0,0,0,0,0,0,2.0,-11.0,-988.0,59,62,84,80,-15.72,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:19.275,2.931,,,,80,94,95,1,0,0,0,0,0,0,0.0,-3.0,-998.0,59,62,84,80,-15.66,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:19.375,3.031,,,,80,94,95,1,0,0,0,0,0,0,5.0,6.0,-995.0,59,62,84,80,-15.77,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:19.477,3.133,,,,80,94,95,1,0,0,0,0,0,0,8.0,-8.0,-996.0,59,62,83,80,-15.7,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:19.579,3.234,,,,80,94,95,1,0,0,0,0,0,0,8.0,2.0,-1005.0,59,62,84,80,-15.78,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:19.680,3.335,,,,80,94,95,1,0,0,0,0,0,0,13.0,-11.0,-994.0,59,62,83,80,-15.71,
batterytest_10_20260506_115206,drone_3_B10_hover_batterytest_10_20260506_115206,drone_3,3,192.168.0.103,B10,hover,,,hover_to_10_percent,2026-05-06T11:52:19.780,3.436,,,,80,94,95,1,0,0,0,0,0,0,9.0,-7.0,-996.0,59,62,83,80,-15.72,
