source_file,status,notes,battery_id,drone_name,run_id,baseline_id,duration_sec,battery_start,battery_end,battery_drop,battery_drop_per_min,align_offset_sec,raw_point_count,plotted_point_count
db_copy_for_cleaning/baselines/drone_1_B01/drone_1_B01_hover_lv1_20260618_182942_20260618_182942_all_battery_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_1_B08/drone_1_B08_hover_lv1_20260522_145128_20260522_145128_all_battery_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_1_B11/drone_1_B11_hover_20260514_135933_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_1_B11/drone_1_B11_hover_20260514_151213_20260514_151213_all_battery_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_2_B12/drone_2_B12_hover_20260513_174754_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_3_B13/drone_3_B13_hover_20260514_161618_20260514_161618_all_battery_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_4_B14/drone_4_B14_hover_lv1_20260619_182914_20260619_182914_all_battery_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_5_B01/drone_5_B01_hover_lv1_20260618_193446_20260618_193446_all_battery_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_5_B01/drone_5_B01_hover_lv1_20260618_193457_20260618_193457_all_battery_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_5_B12/drone_5_B12_hover_lv1_20260618_185117_20260618_185117_all_battery_timeseries.csv,empty_rows,,,,,,,,,,,,,
db_copy_for_cleaning/baselines/drone_3_B08/drone_3_B08_hover_batterytest_08_20260506_133811_timeseries.csv,included,,B08,drone_3,batterytest_08_20260506_133811,drone_3_B08_hover_batterytest_08_20260506_133811,504.442,96.0,10.0,86.0,10.2291,0.0,5000.0,1001.0
db_copy_for_cleaning/baselines/drone_2_B09/drone_2_B09_hover_20260513_160712_timeseries.csv,included,,B09,drone_2,20260513_160712,drone_2_B09_hover_20260513_160712,561.42,100.0,10.0,90.0,9.6185,12.06,559.0,559.0
db_copy_for_cleaning/baselines/drone_2_B09/drone_2_B09_hover_20260513_171713_timeseries.csv,included,,B09,drone_2,20260513_171713,drone_2_B09_hover_20260513_171713,522.203,100.0,10.0,90.0,10.3408,14.061,520.0,520.0
db_copy_for_cleaning/baselines/drone_3_B09/drone_3_B09_hover_batterytest_09_20260506_171401_timeseries.csv,included,,B09,drone_3,batterytest_09_20260506_171401,drone_3_B09_hover_batterytest_09_20260506_171401,505.416,97.0,10.0,87.0,10.3281,0.0,4988.0,999.0
