run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:43.480,21.694,0.0,2,-11,-13,88,39,-13,88,50,0,80,11,13,-8,18.815,7.667,18.241,84,84,,-1,-1,2,0,0,-1,-8.0,-76.0,-1071.0,63,66,84,60,-7.41,40
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:43.586,21.801,0.107,2,-11,-13,88,39,-13,88,50,0,80,11,13,-8,18.815,7.615,18.241,84,84,,-1,-1,3,0,0,0,-52.0,-39.0,-1080.0,63,66,83,60,-7.53,40
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:43.693,21.908,0.214,2,-11,-13,88,39,-13,88,50,0,80,11,13,-8,18.815,7.93,19.425,84,84,,0,-1,4,0,0,0,-8.0,-17.0,-1038.0,63,66,83,60,-7.51,40
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:43.800,22.015,0.321,2,-14,-11,85,36,-11,85,50,0,80,14,11,-5,18.493,9.152,22.29,84,84,,0,-1,4,0,0,0,-5.0,-37.0,-1040.0,63,66,83,60,-7.53,40
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:43.907,22.122,0.428,2,-14,-11,85,36,-11,85,50,0,80,14,11,-5,18.493,9.152,22.29,84,84,,0,-2,4,0,0,0,-5.0,-35.0,-980.0,63,66,83,60,-7.54,40
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.014,22.229,0.535,2,-14,-11,85,36,-11,85,50,0,80,14,11,-5,18.493,9.12,21.292,84,84,,0,-2,4,0,0,0,-21.0,-12.0,-993.0,63,66,84,60,-7.55,40
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.119,22.334,0.64,2,-14,-11,85,36,-11,85,50,0,80,14,11,-5,18.493,9.96,21.292,84,84,,0,-2,3,0,-1,0,-32.0,1.0,-974.0,63,66,84,60,-7.37,40
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.224,22.438,0.744,2,-15,-12,82,35,-12,82,50,0,80,15,12,-2,19.313,10.355,22.351,84,84,,0,-2,2,0,-1,0,-8.0,-23.0,-1004.0,63,66,84,60,-7.49,40
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.329,22.544,0.85,2,-15,-12,82,35,-12,82,50,0,80,15,12,-2,19.313,7.233,16.211,84,84,,0,-1,1,-1,-1,0,12.0,-35.0,-1007.0,63,66,84,60,-7.51,41
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.437,22.651,0.957,2,-15,-12,82,35,-12,82,50,0,80,15,12,-2,19.313,7.233,16.211,84,84,,0,0,0,-1,-1,0,3.0,-24.0,-967.0,62,65,82,60,-7.51,41
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.542,22.757,1.063,2,-15,-12,82,35,-12,82,50,0,80,15,12,-2,19.313,7.763,19.051,84,84,,0,0,0,-1,-1,0,-3.0,-24.0,-1011.0,62,65,82,60,-7.49,41
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.646,22.861,1.167,2,-11,-10,84,39,-10,84,50,0,80,11,10,-4,15.395,6.166,14.777,84,84,,0,0,0,-1,-1,0,-4.0,-38.0,-985.0,62,65,81,60,-7.52,41
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.752,22.967,1.273,2,-11,-10,84,39,-10,84,50,0,80,11,10,-4,15.395,7.037,14.777,84,84,,0,1,1,0,-1,0,0.0,-8.0,-1019.0,62,65,80,60,-7.42,41
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.858,23.073,1.378,2,-7,-4,83,43,-4,83,50,0,80,7,4,-3,8.602,6.035,11.909,84,84,,0,0,1,0,-1,0,2.0,14.0,-951.0,62,65,80,60,-7.57,41
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:44.962,23.177,1.483,2,-7,-4,83,43,-4,83,50,0,80,7,4,-3,8.602,4.976,8.227,84,84,,0,0,0,0,-1,0,50.0,-17.0,-999.0,62,65,79,60,-7.5,41
20260505_165921,front_head_lv2_001,front,head wind,Level2,drone_2,192.168.0.102,B04,2,front_2,2,1,0,hover_recenter,2026-05-05T16:59:45.070,23.285,1.591,2,-7,-4,83,43,-4,83,50,0,80,7,4,-3,8.602,4.976,8.227,84,84,,0,0,-1,0,-1,0,36.0,-49.0,-1001.0,62,65,78,60,-7.48,41
