run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,hover_start_timestamp,hover_end_timestamp,hover_duration_sec,node_start_timestamp,node_end_timestamp,node_duration_sec,target_pad,node_forward_distance_cm,node_speed_cm_s,battery_hover_start,battery_hover_end,battery_drop,condition,drop_rate_pct_per_min
20260507_135226,front_head_lv1_006,front,head wind,Level1,drone_3,192.168.0.103,B10,3,front_3,3,2,0,2026-05-07T13:52:46.607,2026-05-07T13:53:38.821,52.214,2026-05-07T13:52:46.607,2026-05-07T13:53:38.821,52.214,8,250,10,61,49,12,front_head_lv1,13.789405140383804
20260507_135226,front_head_lv1_006,front,head wind,Level1,drone_4,192.168.0.106,B02,4,front_4,4,3,0,2026-05-07T13:52:46.607,2026-05-07T13:53:38.821,52.214,2026-05-07T13:52:46.607,2026-05-07T13:53:38.821,52.214,1,250,10,57,44,13,front_head_lv1,14.938522235415789
20260507_135226,front_head_lv1_006,front,head wind,Level1,drone_5,192.168.0.107,B04,5,front_5,5,4,0,2026-05-07T13:52:46.607,2026-05-07T13:53:38.821,52.214,2026-05-07T13:52:46.607,2026-05-07T13:53:38.821,52.214,2,250,10,60,49,11,front_head_lv1,12.640288045351822
20260508_105249,front_head_lv1_007,front,head wind,Level1,drone_1,192.168.0.101,B07,1,front_1,1,0,0,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,6,250,10,61,54,7,front_head_lv1,9.307066722804528
20260508_105249,front_head_lv1_007,front,head wind,Level1,drone_2,192.168.0.102,B10,2,front_2,2,1,0,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,7,250,10,65,65,0,front_head_lv1,0.0
20260508_105249,front_head_lv1_007,front,head wind,Level1,drone_3,192.168.0.103,B02,3,front_3,3,2,0,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,8,250,10,65,60,5,front_head_lv1,6.647904802003235
20260508_105249,front_head_lv1_007,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,1,250,10,64,60,4,front_head_lv1,5.318323841602588
20260508_105249,front_head_lv1_007,front,head wind,Level1,drone_5,192.168.0.107,B04,5,front_5,5,4,0,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,2026-05-08T10:53:07.765,2026-05-08T10:53:52.892,45.127,2,250,10,62,56,6,front_head_lv1,7.977485762403882
20260508_105559,front_head_lv1_008,front,head wind,Level1,drone_1,192.168.0.101,B07,1,front_1,1,0,0,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,6,250,10,51,38,13,front_head_lv1,16.221612178687295
20260508_105559,front_head_lv1_008,front,head wind,Level1,drone_2,192.168.0.102,B10,2,front_2,2,1,0,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,7,250,10,61,49,12,front_head_lv1,14.973795857249812
20260508_105559,front_head_lv1_008,front,head wind,Level1,drone_3,192.168.0.103,B02,3,front_3,3,2,0,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,8,250,10,54,42,12,front_head_lv1,14.973795857249812
20260508_105559,front_head_lv1_008,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,1,250,10,53,42,11,front_head_lv1,13.725979535812328
20260508_105559,front_head_lv1_008,front,head wind,Level1,drone_5,192.168.0.107,B04,5,front_5,5,4,0,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,2026-05-08T10:56:19.261,2026-05-08T10:57:07.345,48.084,2,250,10,50,37,13,front_head_lv1,16.221612178687295
20260508_131155,front_head_lv1_009,front,head wind,Level1,drone_1,192.168.0.101,B10,1,front_1,1,0,0,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,6,250,10,59,50,9,front_head_lv1,10.944245151091383
20260508_131155,front_head_lv1_009,front,head wind,Level1,drone_2,192.168.0.102,B02,2,front_2,2,1,0,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,7,250,10,60,51,9,front_head_lv1,10.944245151091383
20260508_131155,front_head_lv1_009,front,head wind,Level1,drone_3,192.168.0.103,B04,3,front_3,3,2,0,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,8,250,10,62,55,7,front_head_lv1,8.512190673071077
20260508_131155,front_head_lv1_009,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,2026-05-08T13:12:16.109,2026-05-08T13:13:05.450,49.341,1,250,10,61,52,9,front_head_lv1,10.944245151091383
