timestamp,drone,event,detail
2026-09-10T20:10:06.425,drone_2,TAKEOFF_REQUESTED,single attempt; awaiting this aircraft's reply
2026-09-10T20:10:06.426,drone_1,TAKEOFF_REQUESTED,single attempt; awaiting this aircraft's reply
2026-09-10T20:10:06.426,drone_4,TAKEOFF_REQUESTED,single attempt; awaiting this aircraft's reply
2026-09-10T20:10:06.426,drone_5,TAKEOFF_REQUESTED,single attempt; awaiting this aircraft's reply
2026-09-10T20:10:06.426,drone_3,TAKEOFF_REQUESTED,single attempt; awaiting this aircraft's reply
2026-09-10T20:10:12.750,drone_2,TAKEOFF_CONFIRMED,independent pad control enabled
2026-09-10T20:10:12.956,drone_4,TAKEOFF_CONFIRMED,independent pad control enabled
2026-09-10T20:10:15.151,drone_3,TAKEOFF_CONFIRMED,independent pad control enabled
2026-09-10T20:10:15.237,drone_5,TAKEOFF_CONFIRMED,independent pad control enabled
2026-09-10T20:10:15.249,drone_1,TAKEOFF_CONFIRMED,independent pad control enabled
2026-09-10T20:10:15.565,drone_1,MOVE_REQUESTED,"pose=(5, -36, 3, 73); reference=m5; own=m5; target=(0.0, 0.0, 80)"
2026-09-10T20:10:16.295,drone_5,MOVE_REQUESTED,"pose=(1, -13, 0, 96); reference=m1; own=m1; target=(0.0, 0.0, 80)"
2026-09-10T20:10:18.366,drone_5,ARRIVAL_VERIFIED,"(1, -6, 0, 88)"
2026-09-10T20:10:18.983,drone_1,FAULT,"recenter deadline exceeded without verified completion; last_pose=(5, -32, 6, 81); brake not confirmed"
2026-09-10T20:10:19.670,drone_2,MOVE_REQUESTED,"pose=(6, -17, 0, 80); reference=m6; own=m6; target=(0.0, 0.0, 80)"
2026-09-10T20:10:21.369,drone_5,MOVE_REQUESTED,"pose=(1, -18, -2, 88); reference=m1; own=m1; target=(0.0, 0.0, 80)"
2026-09-10T20:10:21.538,drone_2,ARRIVAL_VERIFIED,"(6, -11, 0, 78)"
2026-09-10T20:10:23.437,drone_5,ARRIVAL_VERIFIED,"(1, -7, -3, 80)"
2026-09-10T20:10:23.939,drone_2,MOVE_REQUESTED,"pose=(6, -18, 2, 78); reference=m6; own=m6; target=(0.0, 0.0, 80)"
2026-09-10T20:10:26.434,drone_2,FAULT,"recenter deadline exceeded without verified completion; last_pose=(6, -14, 0, 77); brake not confirmed"
2026-09-10T20:10:32.579,drone_3,MOVE_REQUESTED,"pose=(7, -19, 4, 74); reference=m7; own=m7; target=(0.0, 0.0, 80)"
2026-09-10T20:10:34.542,drone_3,ARRIVAL_VERIFIED,"(7, 0, 7, 80)"
2026-09-10T20:10:40.447,drone_5,MOVE_REQUESTED,"pose=(1, -16, -3, 78); reference=m1; own=m1; target=(0.0, 0.0, 80)"
2026-09-10T20:10:41.794,drone_5,ARRIVAL_VERIFIED,"(1, -8, -1, 78)"
2026-09-10T20:11:09.369,drone_3,MOVE_REQUESTED,"pose=(7, 7, 16, 86); reference=m7; own=m7; target=(0.0, 0.0, 80)"
2026-09-10T20:11:11.242,drone_3,ARRIVAL_VERIFIED,"(7, -1, 3, 83)"
2026-09-10T20:11:29.136,drone_3,MOVE_REQUESTED,"pose=(7, 12, 17, 78); reference=m7; own=m7; target=(0.0, 0.0, 80)"
2026-09-10T20:11:30.283,drone_3,ARRIVAL_VERIFIED,"(7, 3, 5, 81)"
2026-09-10T20:12:24.399,drone_4,MOVE_REQUESTED,"pose=(8, 2, -8, 59); reference=m8; own=m8; target=(0.0, 0.0, 80)"
2026-09-10T20:12:25.646,drone_4,ARRIVAL_VERIFIED,"(8, 4, -5, 77)"
2026-09-10T20:13:30.270,drone_3,MOVE_REQUESTED,"pose=(7, 3, 18, 86); reference=m7; own=m7; target=(0.0, 0.0, 80)"
2026-09-10T20:13:31.511,drone_3,ARRIVAL_VERIFIED,"(7, -5, 10, 82)"
2026-09-10T20:15:22.490,drone_3,MOVE_REQUESTED,"pose=(7, 4, 17, 87); reference=m7; own=m7; target=(0.0, 0.0, 80)"
2026-09-10T20:15:24.565,drone_3,ARRIVAL_VERIFIED,"(7, 0, 4, 82)"
