battery_id,drone,label,window,slope,intercept,r2,rmse,t_start,t_end,duration_sec,battery_at_t_start,n,source
B11,1,D1 / B11,75-50,-0.11192994531992179,84.35849676804368,0.9852648627879951,0.8733181626381655,71.316,291.307,219.991,76.37610078760814,220,database/baselines/drone_1_B11/drone_1_B11_hover_20260513_143201_timeseries.csv
B11,1,D1 / B11,75-45,-0.11937439566939775,85.46865297869546,0.9818891336589953,1.1659931201036775,71.316,319.473,248.157,76.95534857713669,248,database/baselines/drone_1_B11/drone_1_B11_hover_20260513_143201_timeseries.csv
B09,2,D2 / B09,75-50,-0.12689300970409387,90.77100334058242,0.991284042334094,0.6936111603929938,111.523,312.476,200.953,76.61951421935277,201,database/baselines/drone_2_B09/drone_2_B09_hover_20260513_171713_timeseries.csv
B09,2,D2 / B09,75-45,-0.1326021656897789,91.81010011665231,0.9879081711355621,0.9404052395310938,111.523,332.646,221.12300000000002,77.02190879243109,221,database/baselines/drone_2_B09/drone_2_B09_hover_20260513_171713_timeseries.csv
B13,3,D3 / B13,75-50,-0.11156003325758831,82.43364379997149,0.9907740409004724,0.6837091578770211,59.257,278.256,218.99899999999997,75.82293090922659,219,database/baselines/drone_3_B13/drone_3_B13_hover_20260513_163826_timeseries.csv
B13,3,D3 / B13,75-45,-0.11817771066097471,83.33853039596237,0.986409612094718,0.9895983762506207,59.257,305.399,246.142,76.335673795325,246,database/baselines/drone_3_B13/drone_3_B13_hover_20260513_163826_timeseries.csv
B14,4,D4 / B14,75-50,-0.108452175940512,84.21707549769707,0.9787383602000999,1.0570801855661052,65.31,293.388,228.07799999999997,77.13406388702222,228,database/baselines/drone_4_B14/drone_4_B14_hover_20260513_144257_timeseries.csv
B14,4,D4 / B14,75-45,-0.1172494647820224,85.50238511691668,0.9756497576596774,1.3916342717345906,65.31,324.603,259.293,77.8448225720028,259,database/baselines/drone_4_B14/drone_4_B14_hover_20260513_144257_timeseries.csv
B15,5,D5 / B15,75-50,-0.11569534336417431,85.20684727856457,0.9865677837274471,0.830138553018244,76.351,288.36,212.00900000000001,76.37339211736649,212,database/baselines/drone_5_B15/drone_5_B15_hover_20260513_150444_timeseries.csv
B15,5,D5 / B15,75-45,-0.1236159766752751,86.40673950435198,0.9826936749024476,1.1420130659928382,76.351,316.537,240.18599999999998,76.96853606921805,240,database/baselines/drone_5_B15/drone_5_B15_hover_20260513_150444_timeseries.csv
