run_id,experiment_id,formation,wind_direction,wind_speed,wind_level,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_3_of_5,2026-05-18T11:28:27.505,32.316,22.136,68,68,0
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_3_of_5,2026-05-18T11:28:28.509,33.32,23.141,67,68,1
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_4_of_5,2026-05-18T11:28:29.514,34.326,24.146,67,68,1
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_4_of_5,2026-05-18T11:28:30.521,35.333,25.153,67,68,1
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_4_of_5,2026-05-18T11:28:31.528,36.34,26.16,66,68,2
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_4_of_5,2026-05-18T11:28:32.534,37.346,27.166,66,68,2
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_4_of_5,2026-05-18T11:28:33.542,38.354,28.174,66,68,2
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_4_of_5,2026-05-18T11:28:34.550,39.361,29.181,66,68,2
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_4_of_5,2026-05-18T11:28:35.557,40.368,30.188,65,68,3
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_4_of_5,2026-05-18T11:28:36.563,41.375,31.195,65,68,3
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_4_of_5,2026-05-18T11:28:37.570,42.381,32.202,65,68,3
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:38.575,43.386,33.206,65,68,3
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:39.578,44.39,34.21,65,68,3
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:40.584,45.395,35.216,64,68,4
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:41.589,46.401,36.221,64,68,4
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:42.596,47.408,37.228,64,68,4
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:43.603,48.414,38.234,64,68,4
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:44.611,49.422,39.242,64,68,4
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:45.622,50.433,40.254,63,68,5
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:46.626,51.438,41.258,63,68,5
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:47.634,52.446,42.266,63,68,5
20260518_112752,drone_4_B14_head_forward_250_20260518_112752,single_drone_baseline,head_forward_250,lv2,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,1,node_segment_5_of_5,2026-05-18T11:28:48.642,53.454,43.274,63,68,5
