run_id,experiment_id,formation,wind_direction,wind_speed,wind_level,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_3_of_5,2026-05-18T11:38:22.014,32.969,22.144,60,64,4
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_4_of_5,2026-05-18T11:38:23.019,33.974,23.148,60,64,4
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_4_of_5,2026-05-18T11:38:24.025,34.98,24.155,59,64,5
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_4_of_5,2026-05-18T11:38:25.033,35.988,25.163,59,64,5
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_4_of_5,2026-05-18T11:38:26.041,36.996,26.171,58,64,6
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_4_of_5,2026-05-18T11:38:27.048,38.003,27.178,58,64,6
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_5_of_5,2026-05-18T11:38:28.054,39.009,28.184,57,64,7
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_5_of_5,2026-05-18T11:38:29.057,40.012,29.187,57,64,7
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_5_of_5,2026-05-18T11:38:30.062,41.016,30.191,57,64,7
20260518_113746,drone_5_B15_head_forward_250_20260518_113746,single_drone_baseline,head_forward_250,lv2,lv2,drone_5,192.168.0.107,B15,1,single_baseline,5,2,node_segment_5_of_5,2026-05-18T11:38:31.070,42.025,31.2,57,64,7
